500 120000
29 451 3520
322 335 5730
216 246 9452
89 104 2240
269 340 6840
188 356 7301
227 470 4675
47 163 4225
86 399 9951
17 404 8217
326 414 4472
93 417 7034
365 444 48
409 482 9742
28 268 1241
231 279 6801
268 355 2993
88 95 2342
14 331 3784
74 478 6686
113 444 9255
166 390 6276
60 157 3237
406 497 5303
226 245 9062
173 410 5006
16 347 7200
2 258 5007
387 452 6790
193 405 3570
140 180 8110
13 386 4904
73 239 4255
59 332 9850
98 298 8275
151 276 1222
250 465 2465
70 204 5584
1 459 4903
310 383 7391
40 399 7033
349 411 3356
116 442 7214
153 176 4331
192 346 8536
102 253 6664
139 325 7232
432 457 9191
12 205 4790
58 383 1988
97 467 810
150 327 2366
44 318 6719
337 460 2231
83 160 4717
429 500 7657
196 385 9788
235 429 5321
272 433 6789
182 212 3829
55 94 6937
295 463 6419
115 243 568
25 31 2649
101 268 5318
138 262 78
11 28 589
177 500 8592
163 169 8619
36 441 2331
276 392 6243
96 132 3835
43 399 3676
315 354 1829
82 427 852
135 439 3326
195 216 802
68 106 8384
234 382 1079
181 277 2500
220 317 8944
257 301 1131
24 464 5120
100 347 9425
372 480 5545
10 175 8370
176 187 9944
379 388 9907
125 248 3971
471 492 4124
238 457 586
275 321 5128
21 301 4401
208 236 1371
81 114 7770
120 488 7531
180 322 7634
452 495 6833
219 492 6245
39 185 4465
78 417 5234
9 382 1477
318 496 4266
85 459 326
200 495 6410
110 118 3965
147 232 1650
20 346 5130
223 317 6297
260 329 1300
6 349 2033
299 485 7744
66 488 1788
158 424 4597
52 171 5258
218 223 5885
398 475 8988
165 500 5518
8 305 3115
63 277 14
303 346 972
160 220 8107
146 483 1793
19 147 665
185 383 7371
494 499 2729
132 146 6931
5 428 891
65 209 9644
104 361 6215
51 354 4732
90 260 1278
143 306 9159
242 459 1224
62 166 7357
249 413 6973
122 149 9383
302 401 197
32 117 7547
108 416 4151
145 170 8141
184 304 5383
94 215 8428
131 363 1687
4 251 1866
170 271 1049
50 361 105
142 361 4660
329 422 2547
75 134 7056
61 103 3962
227 323 8869
264 471 2887
47 52 54
287 485 8900
107 233 5506
93 310 9413
3 50 9509
169 478 5015
155 159 3456
28 391 8535
88 170 2276
268 406 4209
35 485 1380
307 328 7747
383 477 4134
187 302 3578
226 264 2215
173 271 4528
46 231 2500
16 470 3328
92 353 3303
2 153 3841
371 426 1377
408 416 7082
117 210 9015
230 467 7914
267 295 8170
13 311 500
59 217 4988
405 445 1171
172 344 6301
211 386 4181
31 151 5385
70 443 1503
1 320 7714
310 458 1491
77 469 8637
192 469 8853
102 104 2114
139 254 4690
12 320 4421
215 331 876
72 171 5008
291 395 1696
58 386 6383
367 380 8291
97 360 3723
150 466 9309
44 177 1581
390 461 5174
157 462 8024
55 467 5657
348 351 9221
115 124 8684
295 320 1150
101 177 2429
11 137 8940
177 353 1668
253 470 9873
57 315 673
96 287 880
149 267 9818
43 376 3566
82 286 4220
135 296 6066
234 485 4325
241 391 6468
294 395 6633
114 143 6369
24 91 2036
333 495 1136
100 462 4429
137 348 2788
176 310 7101
162 249 2885
275 458 9403
111 206 7133
42 323 7757
314 428 631
81 495 9497
134 371 4277
321 408 7704
67 172 1473
413 424 8512
180 469 1254
53 65 4481
219 377 5519
256 493 7125
39 50 5493
99 287 2551
9 235 6934
191 247 6521
85 336 8450
378 458 3110
124 186 6625
161 416 1616
20 493 7679
313 349 8484
80 176 9892
260 444 4092
27 475 1423
299 350 6397
66 127 6562
375 491 5342
179 260 3886
52 62 8073
218 290 3950
165 377 5210
38 249 5319
204 209 7644
8 444 4803
317 430 2867
84 399 9125
356 404 8071
123 483 7605
363 432 1849
109 204 5528
455 480 966
19 284 4428
259 269 3611
5 273 444
298 301 2495
51 239 2105
397 423 7458
127 440 8116
164 438 7624
203 408 7896
23 365 2347
62 301 7085
249 298 6135
341 378 7818
184 443 3146
131 212 7551
4 366 7534
207 353 7702
64 145 465
283 433 8098
50 412 5562
359 362 3782
142 500 7923
248 477 4547
340 437 9230
287 366 6430
144 232 8121
93 139 1965
130 439 1496
3 191 9315
169 331 5281
478 479 9199
245 496 3963
49 301 1469
88 309 8633
141 277 5468
35 366 9769
328 484 5212
74 200 6848
420 476 9462
187 443 8288
226 415 171
279 395 7607
46 114 7621
233 425 2188
106 185 273
286 445 9400
16 65 9055
92 500 4695
129 358 493
168 284 5164
154 211 3411
103 212 173
267 464 4006
34 445 6995
306 438 5196
73 385 7492
382 405 9866
186 224 8520
59 82 7961
225 334 4642
172 467 336
45 91 7769
211 271 6528
91 293 256
1 221 7281
183 205 8728
77 330 5285
370 468 5588
386 401 454
116 144 7192
153 394 1238
229 415 7183
305 327 781
215 220 8946
72 86 7524
291 308 6442
171 282 6621
443 465 8265
210 316 8239
157 323 5878
450 463 5061
30 211 2365
196 255 1800
309 440 8532
76 405 3760
348 466 3930
115 457 6323
11 258 423
214 271 4912
87 119 6053
253 363 4715
290 471 9791
57 448 1513
96 426 3129
149 400 4016
43 245 1937
119 390 9942
156 396 5542
195 462 2707
15 379 6558
241 316 3347
333 356 8196
100 113 146
176 417 9441
252 404 1766
199 383 9562
56 247 791
111 339 1325
42 438 5027
81 356 4234
134 494 3406
53 214 5213
240 451 1827
293 327 9933
39 423 7773
332 435 4415
99 392 3320
136 158 5969
191 376 7241
85 229 7440
431 457 8079
161 317 4114
237 490 7277
41 263 5329
313 490 9283
80 299 1128
133 319 4213
320 474 6653
66 242 5710
375 380 6904
412 490 7975
179 401 9858
218 425 3529
271 417 8562
165 238 9416
38 116 7334
98 195 962
278 455 42
8 39 1979
84 274 8758
123 380 7727
160 482 7839
146 205 1431
19 425 1159
95 242 9038
26 407 8622
298 400 4423
65 443 5952
374 431 6674
178 250 7346
51 120 8138
217 352 2449
127 301 3422
164 313 6477
37 53 472
203 277 9876
23 486 7714
83 331 6174
355 430 4337
122 431 1866
69 356 6156
108 142 4428
145 412 7905
4 465 242
297 361 8571
207 234 8570
64 108 6795
163 368 7555
202 470 5025
22 149 4661
61 369 7230
121 222 5061
301 418 9060
68 435 9535
107 479 5502
3 296 6886
206 289 9855
79 93 8342
245 325 8199
282 497 5376
49 474 3971
88 384 1866
141 394 2577
35 155 6946
328 367 7338
201 231 6266
148 474 8373
7 353 5612
339 369 6577
233 278 516
286 296 7840
325 334 7043
129 499 5602
168 391 3393
244 434 4067
48 237 9482
103 329 6599
34 304 7802
73 270 8409
225 475 121
45 208 6692
465 468 3208
232 489 5804
285 353 9183
105 125 9706
31 397 6619
324 409 6022
91 446 1408
128 164 4987
183 326 4433
77 255 3095
423 471 437
153 279 7044
33 377 8877
72 449 4789
312 432 6171
58 156 7129
171 407 4685
210 435 4878
263 447 5330
157 216 5821
30 94 3541
90 237 6570
270 489 1323
76 264 9426
385 469 8827
115 338 5902
152 456 9487
138 167 5351
11 447 488
87 136 8074
18 401 1426
290 362 4833
57 77 888
170 212 5501
43 110 5560
209 378 5286
119 283 245
156 263 548
195 315 253
15 460 4564
75 337 5457
347 404 4930
114 441 9570
354 392 8694
100 228 8262
446 456 5384
213 451 1650
252 303 9964
199 240 3399
111 484 7435
42 61 1535
118 448 5933
155 374 3067
427 493 861
194 400 2593
14 191 6026
53 347 1993
240 382 6842
293 460 405
113 192 4856
60 457 7111
191 493 1436
85 106 1613
251 350 2345
198 315 5676
71 75 2630
237 351 9267
274 491 7283
41 396 8300
80 422 5840
133 420 9121
27 161 9579
320 341 232
193 217 9221
140 448 7235
255 271 6629
38 483 4264
331 375 2610
278 338 6235
151 192 8130
84 165 6602
377 405 8946
160 381 6102
469 493 4938
236 424 2293
476 479 2260
40 195 1633
222 239 5330
95 359 3420
26 282 5289
65 304 8496
217 493 7129
164 172 126
37 186 4355
224 415 6972
277 395 1517
97 135 3497
23 123 3899
316 487 2219
83 468 1524
122 306 4766
175 300 9840
69 233 9843
235 241 710
145 265 74
25 339 1615
297 470 7176
64 487 4479
304 438 6255
177 184 8524
50 134 2722
396 414 2973
126 357 6393
36 117 7747
202 349 6464
22 32 1352
262 499 4241
82 247 5902
121 363 2468
174 223 7799
68 294 6188
107 328 7924
3 405 535
79 166 5964
282 324 9773
49 87 874
358 475 3107
125 292 2574
162 302 2199
201 364 8410
148 365 9302
441 477 974
21 217 8901
187 193 6687
7 474 5506
120 156 8290
67 375 8405
106 403 1722
159 175 6969
346 418 1897
92 194 6710
438 498 7854
205 477 1345
244 261 5941
281 309 6330
103 450 3528
34 199 1112
343 435 1370
110 426 5622
147 412 5306
6 161 7394
172 185 4904
45 325 9981
232 340 9680
105 234 2137
52 487 7427
183 475 115
77 116 2612
243 372 8183
190 429 9738
63 161 935
266 389 3661
342 376 4959
72 332 9526
381 478 3334
312 315 441
132 494 6478
247 309 3344
284 289 3479
30 453 6165
323 349 491
270 372 3570
143 238 5174
76 131 2350
369 399 8396
152 339 2401
228 454 8856
32 313 3684
87 285 8896
18 260 297
57 218 172
403 450 9886
29 132 1384
216 437 9326
89 169 2595
269 405 6275
15 81 2252
308 461 8100
75 458 9485
114 300 8103
167 314 6377
86 206 2743
17 341 8264
289 424 6248
56 397 9095
365 381 714
296 412 5160
42 160 5914
388 436 959
118 351 5875
155 451 8749
28 115 6360
194 359 4011
74 273 78
113 381 3202
166 193 1227
60 348 9256
353 462 2633
99 190 3344
136 436 5316
212 391 433
251 491 8816
288 351 4331
71 188 115
2 453 4629
274 350 7445
41 121 4198
117 270 163
154 312 3929
27 58 18
193 342 3441
140 379 3170
433 455 1867
13 195 4207
179 231 515
255 432 2360
292 398 7733
59 397 6417
331 480 3678
98 493 6254
338 444 9624
236 291 5642
273 303 9272
40 78 653
26 225 2605
335 409 1764
139 386 5921
411 441 1705
178 484 1057
254 331 3858
37 303 5135
224 298 5373
316 378 9823
83 97 5657
376 469 9519
175 433 5525
69 94 278
235 362 9471
182 407 2853
55 159 6506
258 447 3355
25 472 6551
334 338 1180
64 370 7392
373 488 2944
36 248 7915
239 467 5227
276 335 6533
22 447 4890
315 419 46
82 106 9995
135 244 3064
262 366 3924
121 496 4543
174 362 1252
68 169 600
361 417 3403
414 437 8319
144 329 1445
453 465 4232
24 271 9388
79 299 6543
10 366 2590
49 204 1277
395 472 2535
125 441 3887
162 421 6777
201 409 6602
148 240 2401
21 110 4333
208 427 7869
81 179 1133
261 447 694
7 79 5696
300 475 8223
120 295 343
67 480 1198
360 374 6013
106 262 2223
159 272 692
129 197 4302
9 447 3262
281 386 9627
48 403 5724
357 407 2646
124 358 5014
161 212 5537
34 90 7727
200 302 7744
110 305 4709
147 297 3537
20 25 1839
186 257 1738
6 28 6924
66 299 3928
105 343 8637
158 235 2889
52 362 7930
345 480 6016
91 132 915
128 394 4103
204 413 4563
243 449 2856
280 373 8711
190 216 8314
109 280 3388
146 290 1621
418 479 4906
185 440 6428
132 337 3180
425 489 5351
5 237 1001
171 253 5808
247 398 6014
284 436 6621
104 168 6396
51 419 1982
323 454 1302
90 455 7977
242 266 4763
189 497 9700
62 97 2374
228 329 5821
265 449 2967
32 436 2760
87 406 497
380 412 2202
18 251 3572
327 391 3117
184 239 114
131 424 7527
170 462 1684
246 381 957
29 281 8656
216 256 9633
15 218 1348
308 336 8581
368 459 1312
167 431 1994
227 384 5725
467 497 5534
47 245 1771
213 221 3083
86 325 8784
17 450 7108
326 340 3779
56 280 4648
365 498 4503
448 450 6287
28 198 3058
231 457 7709
88 105 5442
268 341 781
14 401 2463
74 388 4780
166 380 7517
60 215 5490
406 463 1725
136 319 9289
16 277 9525
288 490 6367
71 305 3697
2 344 1091
311 454 9392
41 230 2219
350 376 4023
387 398 297
117 403 125
154 399 7610
193 419 3306
140 238 5483
13 120 5409
73 213 6013
112 317 4298
59 262 486
98 352 2519
151 494 9835
250 423 6800
1 385 941
273 420 2657
40 441 495
116 332 8638
153 254 7600
26 116 1632
192 276 4812
102 299 9852
139 319 612
178 283 5770
330 430 6427
97 425 5014
150 157 6971
44 368 4031
83 234 5145
196 331 528
235 487 8335
272 363 6523
182 226 1418
258 306 8844
25 37 8937
334 473 4870
101 498 6695
138 332 140
410 489 2650
177 418 5098
36 355 8401
239 356 870
276 466 1799
96 222 8672
43 441 6808
315 316 175
82 481 8195
234 292 5187
181 475 5791
54 91 1254
220 375 9358
24 410 5489
79 444 159
372 426 9958
10 149 3911
319 365 8600
176 245 9740
379 478 4427
125 206 689
238 279 8089
21 499 7289
314 367 6467
208 294 6067
261 292 7758
7 192 3903
300 334 161
120 434 1865
67 109 7405
360 481 7010
159 389 3420
219 422 620
39 243 9072
78 367 6800
9 292 4072
48 270 3092
200 473 7565
110 188 7577
147 178 2866
20 172 7909
223 487 1695
80 127 1198
260 371 9528
6 395 8466
299 415 7598
66 446 634
105 476 6357
158 342 1479
52 253 9596
345 365 7536
398 481 3125
218 229 4179
8 379 4993
280 448 5819
63 479 6643
303 428 2166
123 160 5841
33 152 8577
109 397 5955
146 409 7334
19 93 4249
185 325 2978
132 196 3976
5 82 8565
65 239 6343
104 275 3489
51 300 7751
90 330 9746
143 452 1928
242 385 735
62 236 4496
482 496 5799
249 491 4658
265 334 4547
32 79 4690
108 346 187
145 224 2804
18 110 3545
184 378 3344
94 285 7246
4 45 3402
170 309 9724
246 456 7828
50 351 6053
322 408 339
89 387 1498
142 183 6043
329 492 2035
75 240 259
188 305 6129
227 269 115
47 126 9895
86 464 9580
17 63 391
326 451 1069
93 460 1
130 374 1337
402 499 7102
169 388 7839
409 437 6256
155 169 58
28 345 8451
231 322 8491
88 244 3078
268 456 8889
14 284 2831
166 491 152
60 106 6484
226 350 5883
173 453 7619
46 173 4947
16 384 14
71 426 1658
364 432 2475
2 175 8265
311 347 4006
168 219 4890
371 500 1387
230 265 480
267 273 7199
13 493 31
306 377 1238
112 424 864
59 147 7044
352 391 7885
151 355 3509
444 495 9323
211 460 4973
451 477 839
31 217 8269
197 225 49
70 369 4011
1 286 5463
40 292 6737
116 471 1021
192 495 7831
102 166 9718
139 168 1917
12 186 5120
432 446 1717
215 413 4632
72 149 6908
58 456 6018
97 294 9030
150 296 1666
44 235 2388
337 375 8229
210 255 2969
272 486 6521
55 485 8314
115 134 3602
152 188 5305
25 178 3978
295 442 5658
101 359 7935
138 499 2110
11 67 3315
177 351 6904
57 257 1369
96 361 3682
149 209 562
43 306 690
82 340 961
135 482 6853
234 427 9596
54 214 3535
257 368 1364
24 101 3845
100 304 4032
137 266 3103
10 24 1017
176 352 8306
416 479 6967
162 207 6733
238 418 5066
111 144 8879
21 376 9281
314 498 2227
81 421 5164
134 169 2678
321 470 4061
67 214 447
180 287 8979
219 307 6451
256 295 4199
39 100 3974
9 209 8185
318 421 5224
85 422 3330
378 400 1775
394 413 128
124 140 8971
401 431 6618
20 311 6750
223 360 7901
80 234 8266
260 486 2437
6 262 8610
158 477 6238
218 360 1739
165 431 9002
38 183 7512
8 486 5202
317 356 5752
63 320 3759
356 478 3835
303 305 8430
363 490 3047
19 230 948
222 291 859
259 311 8857
5 455 8109
298 339 9914
65 100 4147
104 414 5959
51 185 4477
344 429 2206
397 413 4676
127 482 3346
143 329 6949
436 453 1077
203 466 6424
23 295 4164
62 283 6326
249 368 9958
302 490 6715
122 238 2143
32 218 6867
108 461 1118
184 389 7663
94 136 1458
4 144 3657
207 427 5935
64 171 5423
283 459 9028
50 466 4823
89 264 4688
142 258 2510
202 233 5973
61 178 3386
248 423 8182
264 396 5652
47 387 7354
287 400 2357
144 162 7609
107 156 1020
17 180 1315
93 321 9744
130 461 1939
3 105 3243
169 369 6158
49 283 3838
231 247 3928
88 383 2315
141 203 6691
35 344 7653
328 430 5650
74 190 2146
383 392 8514
187 373 1556
226 469 7336
279 349 4300
173 186 3885
46 56 5786
233 471 1702
16 123 8787
92 270 8868
129 316 4106
2 34 1465
168 326 7215
230 388 4010
267 394 5048
103 142 6414
13 354 6949
306 492 29
73 463 4633
225 260 5394
172 261 3645
211 345 8258
31 66 2861
70 492 9294
1 235 3767
310 415 4649
77 384 6238
370 394 5415
386 423 9530
153 464 696
229 325 2847
12 301 481
305 317 9925
215 278 3763
291 382 3037
58 95 5661
367 459 4267
150 423 8744
44 94 4852
210 370 8902
157 409 5255
30 153 2873
309 334 5076
55 382 595
348 484 3675
295 303 8318
101 236 9177
11 252 1789
447 496 6894
214 453 6847
253 417 7332
290 429 8988
57 398 3831
96 484 2432
149 358 4430
43 175 8002
336 435 9394
389 439 9100
119 472 7852
135 343 7049
428 483 9981
15 269 3199
54 301 9667
241 362 7793
114 248 575
24 240 2627
333 346 427
100 443 1323
137 439 6609
176 411 8214
199 433 639
56 193 9101
111 293 7333
81 274 6434
134 292 3088
194 211 7221
53 156 9810
240 445 7652
256 434 8111
39 409 4971
99 370 1732
136 200 355
9 94 6076
191 290 1503
85 299 9206
161 267 2822
20 442 991
313 432 5290
80 357 9665
133 229 3363
27 366 5319
320 404 2706
66 136 9563
375 438 8820
412 444 4924
179 347 5807
271 363 4209
165 212 7599
8 17 1738
84 484 3719
393 473 6312
123 438 9815
160 444 4318
400 491 5133
236 239 9013
19 371 3205
222 430 8816
95 164 9189
259 416 9095
5 332 6220
298 454 8691
65 497 8583
217 302 5394
127 279 3187
164 483 9011
203 335 1441
23 440 3612
62 390 9397
355 408 899
249 253 9119
302 369 5321
175 237 6732
69 426 1229
362 420 6907
145 458 7885
221 383 7191
4 283 3748
207 316 6380
283 324 969
50 73 3856
359 465 1230
126 420 7459
142 393 6080
202 412 8909
22 227 4149
442 495 5011
188 223 8541
61 327 5512
248 306 1311
301 344 3831
47 276 7606
93 214 3427
439 462 6898
3 210 1509
206 495 4981
79 103 3846
245 395 8922
282 391 476
49 400 1129
88 458 9008
141 320 5713
35 197 6098
328 345 2674
7 283 1700
279 470 8701
46 455 6007
233 348 8259
286 470 3996
106 210 8784
16 246 5486
325 372 5301
92 385 3890
129 393 255
168 433 1241
103 259 5751
34 262 415
343 368 2469
73 372 2437
382 462 8503
186 189 5823
225 401 1506
45 134 384
232 403 9846
31 439 3739
91 328 3184
128 254 697
1 96 8056
183 280 6523
77 309 2982
153 349 2324
462 465 6403
229 458 1785
12 416 8513
305 426 9482
58 226 106
404 458 6537
171 321 5778
210 489 9499
263 369 9511
157 238 8484
309 467 3986
76 450 5495
385 483 5327
115 412 621
152 402 5256
138 237 640
11 361 3202
214 336 8535
87 194 3948
253 310 6806
149 491 7482
209 304 4121
119 301 9032
156 473 4970
29 69 2024
195 357 1794
15 406 3118
54 440 1170
347 430 8276
294 363 8531
167 251 53
354 478 2981
213 265 9189
252 481 3903
289 361 9904
199 298 4559
56 76 4208
111 430 9400
42 99 222
118 414 3192
134 403 7718
194 422 4624
14 197 4915
180 245 2808
53 353 9085
293 306 4871
39 274 6071
191 471 2899
85 176 9303
198 497 3942
71 125 1458
237 405 9689
274 417 2345
41 442 2106
80 464 5995
133 362 438
27 251 2638
320 367 7540
255 369 9831
38 473 2041
98 172 3305
278 424 4047
8 156 1532
151 154 8535
84 367 9364
377 483 7543
160 311 1099
95 297 937
26 288 5928
335 350 5280
65 334 4991
374 496 2951
217 443 6065
127 152 2483
457 484 9291
37 224 8944
224 489 2630
23 77 6509
83 286 2688
175 374 6325
69 287 5959
145 327 1254
454 459 6254
221 500 2937
4 398 5181
297 412 6871
64 433 2756
304 480 3465
50 252 3080
396 464 864
126 339 7813
163 295 5857
36 63 6829
22 126 1885
61 476 4752
121 177 7560
301 461 2107
68 488 8610
107 386 6153
144 392 1317
384 423 9841
130 215 4026
3 351 4836
206 378 1873
79 232 4293
245 272 4936
125 378 7124
201 346 5516
148 439 7595
21 175 9838
7 396 554
46 338 9115
339 452 5997
286 349 39
159 209 5803
346 488 7715
205 275 7889
244 463 3815
281 323 4793
48 82 2219
34 157 594
343 389 3209
110 496 9769
419 461 503
186 448 6768
426 467 4843
6 223 7311
172 243 4798
45 379 280
232 286 1837
31 312 531
91 453 5761
183 493 2822
77 170 6106
190 411 1449
266 459 5276
33 460 3481
72 310 7039
185 249 5981
247 335 8897
263 490 9282
30 499 2090
90 134 9149
270 386 334
76 373 9482
369 453 9185
152 285 6742
11 482 3076
214 239 7776
87 343 5820
18 314 5467
57 160 8049
366 410 1883
119 166 8983
156 172 9441
29 218 7775
449 478 9055
15 27 5943
75 260 6445
114 482 3857
167 364 2236
407 477 2499
137 169 1261
213 414 4565
86 132 9782
252 372 2339
289 486 6401
56 471 4938
296 454 4248
42 214 1329
118 277 7710
155 285 703
194 317 4865
14 80 104
113 171 46
293 423 4180
166 191 8476
60 406 796
353 388 3516
99 104 8825
212 329 2058
251 293 1148
288 297 1897
198 364 4681
71 246 8322
491 498 4707
237 266 3938
274 276 6853
117 340 8095
133 479 4124
27 116 1715
193 364 7677
140 429 7171
433 445 8109
13 185 8271
112 124 1251
292 368 9015
331 474 3780
278 295 338
338 498 5355
84 242 1750
430 482 6896
197 317 4524
236 469 4769
273 357 3385
40 120 9587
26 183 3862
335 419 659
102 490 7561
411 499 1381
178 474 5193
37 277 3703
224 356 8184
97 234 3554
277 486 236
23 198 8939
83 427 2889
376 415 3438
69 132 1788
415 424 8226
182 429 281
25 486 9338
64 268 4351
177 227 9487
126 222 2324
36 162 2556
239 421 2692
262 420 7757
135 174 7039
82 160 6617
121 318 2504
174 304 2248
68 339 6072
361 495 7313
144 259 4781
3 456 8666
79 381 5805
10 340 8068
319 418 9946
49 186 6307
358 396 1266
125 399 3155
162 379 8994
201 455 1174
148 314 9364
21 52 428
208 485 8342
120 241 2346
67 298 4944
106 460 9714
159 346 9035
346 383 8769
219 231 7564
399 491 1844
129 147 5371
205 392 3594
78 174 2161
244 338 98
281 456 1599
48 461 1495
124 312 5191
200 280 9647
110 383 99
147 499 4083
20 99 9451
186 343 2032
6 74 7978
45 496 20
105 157 7895
285 385 5005
52 444 8568
345 430 680
91 94 1746
128 452 2328
204 343 5435
243 267 5543
280 319 5013
190 262 8735
266 382 9021
33 89 9509
342 461 8966
109 334 9452
381 425 4106
185 390 4966
132 411 5367
5 147 6012
171 183 3133
247 448 1230
284 334 6954
30 382 1668
323 496 2878
422 452 6381
189 455 2490
228 435 1483
265 399 7669
32 398 8362
87 488 8180
18 177 1229
327 441 6509
94 476 8689
170 500 9115
246 267 124
29 303 119
216 330 4507
89 252 836
269 448 2002
15 236 6268
308 410 2581
75 433 7926
368 389 478
167 481 9484
86 275 2927
56 354 305
296 305 8798
169 197 9568
118 224 1577
155 406 2988
28 152 1228
231 387 7369
14 479 9228
74 330 5246
113 288 7608
166 298 561
60 297 1403
136 361 2839
445 481 6398
212 476 8101
251 446 8420
288 420 2203
198 219 2982
71 363 8699
2 366 5842
311 408 290
41 172 2879
350 422 7874
387 440 7189
117 473 928
154 341 7021
140 288 2158
13 46 1384
112 247 3388
59 464 219
98 438 5250
151 416 7900
338 361 4464
391 497 5622
250 365 6711
197 418 2799
70 176 6388
236 328 2835
273 466 3295
40 483 308
116 278 5543
26 58 6006
192 302 3486
102 353 4654
139 489 667
12 121 1551
178 337 1248
254 444 7695
37 410 7652
330 404 5615
224 255 2522
277 363 6257
150 235 2286
44 426 5833
337 432 1432
97 103 8837
196 381 2727
235 273 9005
272 293 8994
182 312 8925
221 222 5459
258 328 6905
25 115 8507
334 487 6048
101 440 8684
373 387 2855
410 447 7807
177 408 5446
417 489 7289
163 221 9017
36 341 4910
239 302 9706
276 292 7125
22 256 4061
262 275 4312
174 447 9230
68 198 422
414 494 6939
181 481 5740
220 393 4963
257 433 9186
24 420 9740
79 454 7594
372 380 2764
10 219 7860
319 343 4933
238 349 1481
21 441 5248
208 336 7814
81 230 8072
261 490 5142
300 384 8724
120 380 7076
67 407 9207
360 427 6851
159 463 2962
78 309 9406
9 274 6181
48 376 5521
357 450 9848
124 435 728
161 191 8064
200 387 3382
110 138 5512
147 380 9707
440 498 5894
20 246 674
223 425 3243
6 449 7149
66 372 3165
158 284 7962
52 263 8519
128 351 995
437 459 2205
204 458 1370
280 394 3905
63 385 5767
123 250 3415
33 214 1700
109 451 301
146 335 6171
132 270 8582
5 24 9232
284 449 8699
104 221 784
344 364 9295
90 400 8051
143 398 9193
76 99 7216
242 375 6313
189 348 2658
62 218 5899
228 294 2320
265 308 8013
108 268 6999
380 489 1177
18 36 3560
184 324 612
94 331 2179
131 479 5628
4 87 7965
170 379 935
246 390 1516
29 420 6292
322 430 5036
269 373 7366
142 253 3286
329 474 7907
188 267 7934
460 480 3809
264 331 5503
47 64 1014
86 430 4680
17 117 6627
93 386 6866
365 413 5143
402 425 2999
169 434 8172
409 451 7881
118 127 9778
155 227 8684
28 275 9929
231 308 366
14 298 7256
74 497 8632
166 417 4338
60 188 6220
16 442 5010
71 476 7129
2 229 4976
311 365 8414
154 472 8152
230 327 3638
13 419 8861
73 136 3064
112 354 875
59 365 7310
352 465 7708
151 309 284
250 496 1554
1 468 4889
310 350 8200
40 366 8500
116 409 7739
192 441 6094
102 156 2215
139 354 190
12 236 2646
432 488 8658
215 471 2028
58 286 3202
150 358 1561
44 285 800
429 469 7213
235 394 4312
272 400 817
182 183 4188
55 447 9730
115 208 7767
295 492 7794
25 248 6919
101 301 866
138 313 2071
11 61 9955
177 277 1943
36 472 4341
276 431 4387
149 167 2596
96 163 3754
336 370 7679
43 492 5644
82 394 1222
135 404 2455
68 73 2635
234 337 7633
181 374 4595
54 236 8087
474 480 8110
220 284 774
24 47 7133
